"id";"title";"description";"product_type";"google_product_category";"link";"image_link";"condition";"availability";"price";"sale_price";"gtin";"brand";"mpn";"item_group_id";"gender";"age_group";"color";"material";"pattern";"size";"energy_efficiency_class";"shipping";"is_bundle";"multipack";"custom_label_0";"custom_label_1";"custom_label_2";"custom_label_3";"custom_label_4";"unit_pricing_measure";"unit_pricing_base_measure"
"820008_B77-XXL";"Houdini M's Fall in Jacket, Evening Haze, XXL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_B77-XXL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008B77";"https://api.houdinisportswear.com/_images/d3ce52f4-74d9-4bd6-9e98-4649815952d3/Ms-Fall-in-Jacket_Evening-Haze_820008_B77_SET_3456_c_low.jpg";"New";"in_stock";"7000 SEK";;"7322710653745";"Houdini";"820008_B77-XXL";"820008";"male";"Vuxen";"Evening Haze";;;"XXL";;;;;;;;;;;
"820008_900-XXL";"Houdini M's Fall in Jacket, True Black, XXL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_900-XXL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008900";"https://api.houdinisportswear.com/_images/83ea068f-f7ce-41ad-b79a-742e334cb777/Ms-Fall-in-Jacket_True-Black_820008_900_S_0061-_C_low.jpg";"New";"in_stock";"7000 SEK";;"7322710597087";"Houdini";"820008_900-XXL";"820008";"male";"Vuxen";"True Black";;;"XXL";;;;;;;;;;;
"820008_696-XL";"Houdini M's Fall in Jacket, Geyser Gray, XL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_696-XL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008696";"https://api.houdinisportswear.com/_images/ffb0d39b-e485-4627-9dd6-4d89af7b86b1/Ms-Fall-in-Jacket_Geyser-Grey_820008_696_P_F_2464-vit-logga_low_c.jpg";"New";"in_stock";"7000 SEK";;"7322710596950";"Houdini";"820008_696-XL";"820008";"male";"Vuxen";"Geyser Gray";;;"XL";;;;;;;;;;;
"820008_B77-XL";"Houdini M's Fall in Jacket, Evening Haze, XL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_B77-XL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008B77";"https://api.houdinisportswear.com/_images/d3ce52f4-74d9-4bd6-9e98-4649815952d3/Ms-Fall-in-Jacket_Evening-Haze_820008_B77_SET_3456_c_low.jpg";"New";"in_stock";"7000 SEK";;"7322710653738";"Houdini";"820008_B77-XL";"820008";"male";"Vuxen";"Evening Haze";;;"XL";;;;;;;;;;;
"820008_B77-L";"Houdini M's Fall in Jacket, Evening Haze, L";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_B77-L&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008B77";"https://api.houdinisportswear.com/_images/d3ce52f4-74d9-4bd6-9e98-4649815952d3/Ms-Fall-in-Jacket_Evening-Haze_820008_B77_SET_3456_c_low.jpg";"New";"in_stock";"7000 SEK";;"7322710653721";"Houdini";"820008_B77-L";"820008";"male";"Vuxen";"Evening Haze";;;"L";;;;;;;;;;;
"820008_696-XXL";"Houdini M's Fall in Jacket, Geyser Gray, XXL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_696-XXL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008696";"https://api.houdinisportswear.com/_images/1eed780b-45fe-4542-a213-26f3511de133/Ms-Fall-in-Jacket_Geyser-Grey_820008_696_P_F_2464_C_low.jpg";"New";"in_stock";"7000 SEK";;"7322710596967";"Houdini";"820008_696-XXL";"820008";"male";"Vuxen";"Geyser Gray";;;"XXL";;;;;;;;;;;
"820008_900-XL";"Houdini M's Fall in Jacket, True Black, XL";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_900-XL&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008900";"https://api.houdinisportswear.com/_images/83ea068f-f7ce-41ad-b79a-742e334cb777/Ms-Fall-in-Jacket_True-Black_820008_900_S_0061-_C_low.jpg";"New";"in_stock";"7000 SEK";;"7322710597070";"Houdini";"820008_900-XL";"820008";"male";"Vuxen";"True Black";;;"XL";;;;;;;;;;;
"820008_696-M";"Houdini M's Fall in Jacket, Geyser Gray, M";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_696-M&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008696";"https://api.houdinisportswear.com/_images/ffb0d39b-e485-4627-9dd6-4d89af7b86b1/Ms-Fall-in-Jacket_Geyser-Grey_820008_696_P_F_2464-vit-logga_low_c.jpg";"New";"in_stock";"7000 SEK";;"7322710596936";"Houdini";"820008_696-M";"820008";"male";"Vuxen";"Geyser Gray";;;"M";;;;;;;;;;;
"820008_B77-M";"Houdini M's Fall in Jacket, Evening Haze, M";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_B77-M&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008B77";"https://api.houdinisportswear.com/_images/d3ce52f4-74d9-4bd6-9e98-4649815952d3/Ms-Fall-in-Jacket_Evening-Haze_820008_B77_SET_3456_c_low.jpg";"New";"in_stock";"7000 SEK";;"7322710653714";"Houdini";"820008_B77-M";"820008";"male";"Vuxen";"Evening Haze";;;"M";;;;;;;;;;;
"820008_900-M";"Houdini M's Fall in Jacket, True Black, M";"Helt vattentät vinterjacka fodrad med Primaloft. Perfekt för vardagsbruk eller i skidbacken. Cirkulära material och PFAS-fri.";"Jacket";"Apparel & Accessories > Clothing > Outerwear > Coats & Jackets";"https://pin.houdinisportswear.com/t/t?a=1652102264&as=1911276839&t=2&tk=1&cupa_sku=820008_900-M&url=https://houdinisportswear.com/sv-se/clothing/jackets/mens-fall-in-jacket-820008?color=820008900";"https://api.houdinisportswear.com/_images/83ea068f-f7ce-41ad-b79a-742e334cb777/Ms-Fall-in-Jacket_True-Black_820008_900_S_0061-_C_low.jpg";"New";"in_stock";"7000 SEK";;"7322710597056";"Houdini";"820008_900-M";"820008";"male";"Vuxen";"True Black";;;"M";;;;;;;;;;;
